A,B
오븐 클리너에 포함된 모든 피부 부식/자극 물질도 심각한 눈 손상/눈 자극의 영향을 받습니다.,오븐 세척제에 포함된 피부 부식성/자극성 물질은 모두 심한 눈손상성/눈 자극성에도 해당된다.
한국은 2030년까지 온실가스 배출량을 BAU(Business As Yournal) 대비 37% 감축하는 것이 의무화돼 있어 이에 대한 해답을 도출하는 것이 시급하다.,국내에서는 2030년 BAU 대비 37%의 온실가스 감축을 의무화함으로써 이에 따른 해결책 마련이 시급한 실정이다.
수술 전 정맥주사(Veni punchure)를 통해 혈액 샘플을 얻었으며 월경 주기의 여포기 동안 적어도 8시간 동안 밤새 단식을 한 후 정맥혈 샘플을 채취했다.,수술 전 정맥혈을 채취하고 월경주기의 난포기 동안 8시간 이상 금식한 후 정맥혈액을 채취하였다.
재택돌봄 혜택에서 시설 혜택으로 바뀐 초등학교 3학년 이하 비율은 8.2%에 불과했다.,3등급 이하 인정자는 8.2%만이 재가급여에서 시설급여로 변경하였다.
공기 중의 오일 입자가 기준치 이하인지 아닌지는 센싱으로 판단할 수 있다.,센싱에 의해 공기 중 오일입자가 기준치이하인지 여부를 판단할 수 있다.
"비트맵의 특정 비트가 1인 경우, 대응하는 RBG가 제1형 단자에 할당되어 있는 것으로 분석할 수 있다.",비트맵의 특정 비트가 1이면 해당 RBG는 그 제1타입 단말에게 할당된 것으로 해석할 수 있다.
미리 결정된 입력은 필기 입력의 일부를 포함하는 폐쇄 곡선을 형성하는 입력일 수 있다.,미리 정해진 입력은 필기 입력의 일부를 포함하는 폐곡선을 형성하는 입력일 수 있다.
히트 파이프(100)는 열전도율이 높은 금속에 비해 수십 배 내지 수백 배 큰 열수송 장치이다.,히트파이프(100)는 고 열전도성 금속에 비해 열전도성이 수십 배에서 수백 배 큰 열수송 장치이다.
"본 발명의 또 다른 측면에 따르면, 휴대용 장치를 제어하기 위한 장치가 제공된다.","본 발명의 또 다른 양상에 따르면, 휴대 장치를 제어하는 장치가 제공된다."
"위험도에 따라 의료기관 수준을 고위험 의료기기, 중위험 의료기기, 저위험 의료기기로 구분해야 한다.","의료기관 차원에서 위험도에 따라 고위험, 중위험, 저위험 의료기기로 분류하여야 한다."
이러한 신장 사건에 대한 연구 결과를 해석할 때 주의하는 것이 중요하다.,이와 같은 신장 사건에 대한 연구 결과를 해석함에 있어 주의해야 할 점이다.
저장 장치 100은 다양한 인터페이스를 통해 호스트 200과 통신할 수 있다.,스토리지 장치(100)는 다양한 인터페이스를 통하여 호스트(200)와 통신할 수 있다.
슬릿 영역 200은 복수의 슬릿 231을 포함할 수 있다.,상기 슬릿 영역(200)은 복수개의 슬릿(231)을 포함할 수 있다.
제어기 140은 검출된 깊이에 대응하여 진동 모터 131의 진동 강도를 조절한다.,제어부(140)는 검출된 깊이에 대응하여 진동모터(131)의 진동 세기를 조정한다.
"피험자의 성적 지식, 태도, HPV 백신 접종의 의도 사이의 상관관계를 결정한다.","대상자의 성 지식, 성 태도와 HPV 예방접종 이행 의도 간의 상관관계를 파악한다."
"류머티즘 인자와 항핵 항체에 대한 검사에서는 특별한 결과가 나오지 않았고, 환자는 류머티즘 질환과 관련된 증상을 호소하지 않았다.",류마티스 인자와 항핵항체 검사에서 특이 소견은 없었고 환자는 류마티스 질환 관련 증상을 호소하지 않았다.
근로자 4명 중 1명은 자영업 의존도가 높기 때문에 자영업은 우리에게 매우 중요한 생계수단으로 볼 수 있다.,"고용인 4명 중 1명꼴로 자영업에 의존하고 있는 만큼, 자영업은 우리에게 매우 중요한 생계 수단이라고 볼 수 있다."
"도시되지는 않았지만, 제1, 제2 노드(N1, N2)에는 방전 회로가 더 결합될 수 있다.","도면에는 도시되지 않았으나, 제1 및 제2 노드들(N1 및 N2)에는 디스차지 회로가 더 연결될 수 있다."
강제 체중 이동 운동 후 단일 피험자에서 치료 기간 동안 체중과 관련된 대칭 이동성과 보행 속도가 증가했다.,체중에 대한 대칭 이동성 및 보행 속도는 강제 체중 이동 운동 후 단일 피험자에서 치료 기간 동안 증가하였다.
"상기 제1, 제2 범프(BP1, BP2)의 결정 구조는 보호막(PF)의 결정 구조보다 밀도가 높을 수 있다.","상기 제1 및 제2 범프(BP1, BP2)의 결정 구조는 상기 보호필름(PF)의 결정 구조보다 조밀할 수 있다."
"하나의 예에서, 중간 스트림의 오디오 청크는 중간 스트림의 비디오 청크보다 클 수 있다.","일 예에서, 중간 스트림의 오디오 청크들은 중간 스트림의 비디오 청크들보다 클 수 있다."
기지국은 608단계에서 선택된 송신 빔을 이용하여 제어 정보를 전송한다.,기지국은 608단계에서 상기 선택된 송신 빔을 이용하여 제어정보를 전송한다.
"지도 생성 단계 S100x에서, 구동 영역의 여러 점에 대응하는 지도상의 복수의 노드가 생성된다.","맵 생성 단계(S100x)에서, 주행 구역의 복수의 지점에 대응하는 맵 상의 복수의 노드를 생성한다."
"HBsAg 혈청 제거 후 HCC 위험은 미미했지만, 일부 환자는 HCC를 개발하여 HBsAg 혈청 제거를 달성한 선별된 환자에게 도움이 될 수 있음을 나타낸다.",HBsAg 혈청 제거 후 간세포 암종 위험은 미미했지만 일부 환자는 간세포 암종이 발생하여 위험 계층화 및 간세포 암종 감시가 HBsAg 혈청 제거를 달성 한 일부 환자에게 도움이 될 수 있음을 나타낸다.
콜리메이터의 성능은 각 콜리메이터 개구부의 길이와 폭의 비율에 영향을 받습니다.,콜리메이터의 성능은 각 콜리에미터 개방부의 길이대 폭의 비에 의하여 영향을 받는다.
"최신 국내 가이드라인은 혈청 HBV DNA 수치가 200,000 IU/mL 이상인 임산부에게 TDF를 권장하여 임신 24~32주부터 시작하여 출산 후 2~12주까지 수직 전파를 방지할 수 있다.","가장 최신 한국 지침은 혈청 HBV DNA 수치가 20만 IU/mL 이상인 임산부에게 TDF를 권장하고 있으며, 이는 임신 24-32주부터 시작하여 출산 2-12주 후에 정지하는 수직 전달을 방지한다."
각 처리 후 세포 배지를 채취하여 저장하였다.,"각각의 치료 후에, 세포 배양 배지는 수집되고 저장되었다."
"세포 생존성이 MTT 분석으로 확인되었을 때, 세포독성은 관찰되지 않았다.","MTT assay로 세포 생존율을 확인하였을 때, 세포 독성이 관찰되지 않았다."
우리 연구의 한계는 3년 만에 발병한 35명의 감염 환자 중 환자 수가 적어 연구 분석 결과의 신뢰성에 한계가 있다.,본 연구의 한계점은 3년 동안 발생한 35명의 감염 환자 중 환자 수가 적기 때문에 연구 분석 결과의 신뢰성에 한계가 있다.
안타깝게도 사전에 환자의 의지가 확인되지 않았다면 갑작스러운 악화로 의식이 없는 상황이라면 문제가 조금 복잡해진다.,안타깝게도 환자의 뜻을 미리 확인하지 못했는데 갑작스러운 악화로 의식이 없는 상황이라면 문제는 조금 복잡해 진다.
"상기 전력 처리 회로(471, 472, 473) 각각은 수신된 전력을 정류하고 전압을 변환할 수 있다.","전력 처리 회로들(471,472,473) 각각은 수신된 전력을 정류하고, 전압을 컨버팅할 수 있다."
심장 자기 공명 영상에서 늦은 가돌리늄 향상은 생존할 수 없는 심근을 감지하기 위한 정확한 진단 도구로 확인되었다.,심장 자기 공명 영상에서 후기 가돌리늄 강화는 생존 불가능한 심근 감지를 위한 정확한 진단 도구가 확인되었다.
프로세서(1113)는 기지국 장치(1110)의 전반적인 동작을 제어할 수 있다.,프로세서(1113)는 기지국 장치(1110) 전반의 동작을 제어할 수 있다.
상기 메인 채널 밸브 장착부(249A)는 밸브 브래킷(249A)을 포함할 수 있다.,메인채널 밸브 장착부(249)는 밸브 브라켓(249A)을 포함할 수 있다.
"AAA의 '사이보그 매니페스토'는 20세기 후반 기술의 급속한 발전으로 인해 유기체와 기계, 인간과 비인간, 물리적, 비물질적 존재의 이분법적 구분이 더 이상 의미가 없다고 선언했다.","AAA의 ""cyborgmanifesto""는 20세기 후반의 급속한 과학 기술의 발전으로 유기물과 기계, 인간과 비인간적 존재들, 신체적과 비신체적 존재들의 이분법적 구분이 더이상 의미가 없다는 것을 선언한 것이다."
"생쥐는 기준선에서 식염수를 흡입했고, 각 농도에서 약 4분 동안 에어로졸 분무기(aerosol nebulizer)를 통해 순차적으로 증가하는 메타콜린(6.25, 12.5, 25, 50mg/mL)의 양을 흡입했다.","생쥐는 염분을 기준선에서 흡입하고 각 농도에서 약 4분 동안 에어로졸 분무기를 통해 메타콜린 (6.25, 12.5, 25, 50mg/mL)을 순차적으로 증가시켰다."
광역학적 치료와 EB-RFA에 대한 사전 비교 연구는 어려운 상태에 있다.,광역학 치료와 EB-RFA의 전향적 비교 연구는 어려운 실정이다.
"노면 센서에서 일반적으로 사용되는 접근 방식은 노면 전도도를 모니터링하는 것으로, 노면의 표면 조건이 변화함에 따라 변화합니다.","노면 센서에 사용되는 일반적인 접근 방식은 노면 전도도를 모니터링하는 것으로, 노면의 표면 상태가 변화함에 따라 변화한다."
본 논문에서는 요구 사항에 대응하여 발표된 2015년 가이드라인을 소개하고자 한다.,본 고에서는 이러한 필요성에 의해 발표된 2015년 가이드라인을 소개하고자 한다.
"예를 들어, 디지털 전압이 소정값 미만인 경우에는 조리용기가 작동 코일 25상에 존재하지 않는다고 판단할 수 있다.","예컨대, 디지털전압이 설정치 이하인 경우, 조리용기가 워킹코일(25) 상에 존재하지 않는 것으로 판단될 수 있다."
"모든 구간의 목표량이 달성되면, 웨어러블 디바이스는 동작을 종료할 수 있다.","웨어러블 디바이스는 모든 섹션에 대한 목표량이 달성되면, 동작을 종료할 수 있다."
조절된 감쇠 매개 변수는 만성 신장 질환 환자의 대사 증후군 존재에 대한 독립적인 위험 요인이다.,제어된 감쇠 매개 변수는 만성 신장 질환 환자에서 대사 증후군의 존재에 대한 독립적인 위험 인자이다.
